Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean maximum temperature (Degrees C) for years 1939 to 2018 ,26.5,25.9,24.1,20.1,16.3,13.7,13.1,14.4,16.8,19.4,21.9,24.6,19.7,49,1939,2018
Highest temperature (Degrees C) for years 1939 to 2018 ,45.8,47.3,40.7,35.2,26.7,22.6,21.9,24.4,30.3,36.4,39.3,44,47.3,49,1939,2018
Date of Highest temperature for years 1939 to 2018 ,31-Jan-68,7-Feb-09,4-Mar-42,10-Apr-05,4-May-67,8-Jun-05,18-Jul-13,27-Aug-07,12-Sep-09,12-Oct-06,29-Nov-12,31-Dec-05,7-Feb-09,N/A,1939,2018
Lowest maximum temperature (Degrees C) for years 1939 to 2018 ,14.7,13.9,13.6,10.6,8.4,6.7,6.1,6.8,8.3,10,11.3,12.5,6.1,49,1939,2018
Date of Lowest maximum temperature for years 1939 to 2018 ,2-Jan-41,18-Feb-51,22-Mar-41,21-Apr-60,27-May-51,22-Jun-50,2-Jul-68,9-Aug-51,15-Sep-57,1-Oct-57,15-Nov-06,11-Dec-52,2-Jul-68,N/A,1939,2018
Decile 1 maximum temperature (Degrees C) for years 1939 to 2018 ,19.6,19.3,18.1,15.1,12.8,11.2,10.5,11.4,12.7,14.2,15.9,17.8, ,49,1939,2018
Decile 9 maximum temperature (Degrees C) for years 1939 to 2018 ,36,34.3,31.6,26.1,20.3,16.5,15.7,17.8,21.4,25.8,30,34, ,49,1939,2018
Mean number of days >= 30 Degrees C for years 1939 to 2018 ,8.6,7.1,4.9,0.4,0,0,0,0,0,0.8,3.1,6.1,31,49,1939,2018
Mean number of days >= 35 Degrees C for years 1939 to 2018 ,4,2.3,1,0,0,0,0,0,0,0.1,0.4,2.3,10.1,49,1939,2018
Mean number of days >= 40 Degrees C for years 1939 to 2018 ,0.9,0.2,0.1,0,0,0,0,0,0,0,0,0.3,1.5,49,1939,2018
Mean minimum temperature (Degrees C) for years 1939 to 2018 ,13.6,14,12.6,10,7.8,6,5.4,5.7,6.8,8.3,10.1,11.9,9.4,49,1939,2018
Lowest temperature (Degrees C) for years 1939 to 2018 ,5.7,5.3,3.7,0.6,0.1,-3.3,-2.6,-2.2,-1.6,-0.3,2.2,4,-3.3,49,1939,2018
