Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean maximum temperature (Degrees C) for years 1948 to 2018 ,26.3,26.6,24.2,20,16.3,13.6,13,14.2,16.5,19.1,21.6,24.1,19.6,60,1948,2018
Highest temperature (Degrees C) for years 1965 to 2018 ,43.8,46.1,39.8,33.4,26.6,22.2,22.2,24.3,30.8,35,39.1,41.5,46.1,51,1965,2018
Date of Highest temperature for years 1965 to 2018 ,29-Jan-09,7-Feb-09,8-Mar-16,1-Apr-14,7-May-02,8-Jun-05,18-Jul-13,27-Aug-07,23-Sep-17,6-Oct-15,26-Nov-97,19-Dec-15,7-Feb-09,N/A,1965,2018
Lowest maximum temperature (Degrees C) for years 1965 to 2018 ,14.6,14,13,10.3,7.2,5.7,4.2,6.1,7.6,9.6,11.6,13.9,4.2,51,1965,2018
Date of Lowest maximum temperature for years 1965 to 2018 ,11-Jan-65,2-Feb-05,31-Mar-78,28-Apr-08,31-May-77,19-Jun-75,8-Jul-73,16-Aug-70,11-Sep-69,1-Oct-68,2-Nov-66,7-Dec-69,8-Jul-73,N/A,1965,2018
Decile 1 maximum temperature (Degrees C) for years 1965 to 2018 ,19.4,19.8,18.2,15.3,13.1,11.2,10.6,11.3,12.7,14.3,15.8,17.7, ,50,1965,2018
Decile 9 maximum temperature (Degrees C) for years 1965 to 2018 ,34.9,34.5,31.5,25.9,20.9,16.5,15.8,17.9,21.3,25.5,29.1,32.1, ,50,1965,2018
Mean number of days >= 30 Degrees C for years 1965 to 2018 ,8.4,8.6,5.1,0.3,0,0,0,0,0,0.7,2.4,5.1,30.6,51,1965,2018
Mean number of days >= 35 Degrees C for years 1965 to 2018 ,3.1,2.5,0.9,0,0,0,0,0,0,0,0.3,1.3,8.1,51,1965,2018
Mean number of days >= 40 Degrees C for years 1965 to 2018 ,0.5,0.3,0,0,0,0,0,0,0,0,0,0.1,0.9,51,1965,2018
Mean minimum temperature (Degrees C) for years 1948 to 2018 ,13.3,13.9,12.5,10.1,8.3,6.3,5.8,6.3,7.6,8.8,10.4,11.9,9.6,60,1948,2018
Lowest temperature (Degrees C) for years 1965 to 2018 ,3.6,4.8,2.2,0.3,-0.3,-2.7,-3.6,-2.3,-0.9,0.1,1.5,2.8,-3.6,51,1965,2018
Date of Lowest temperature for years 1965 to 2018 ,3-Jan-09,10-Feb-80,6-Mar-69,30-Apr-09,24-May-08,16-Jun-69,23-Jul-94,4-Aug-97,8-Sep-03,22-Oct-06,2-Nov-98,6-Dec-67,23-Jul-94,N/A,1965,2018
Highest minimum temperature (Degrees C) for years 1965 to 2018 ,29.2,27.2,26.1,23.1,17.6,15.7,14,15.9,20.2,24.2,25.6,27.6,29.2,51,1965,2018
Date of Highest minimum temperature for years 1965 to 2018 ,29-Jan-09,25-Feb-68,13-Mar-13,10-Apr-05,18-May-14,7-Jun-01,19-Jul-13,26-Aug-04,30-Sep-80,13-Oct-77,20-Nov-07,20-Dec-15,29-Jan-09,N/A,1965,2018
Decile 1 minimum temperature (Degrees C) for years 1965 to 2018 ,9.2,9.6,8.3,5.5,4.1,2.2,1.8,2.8,3.6,4.3,6,7.9, ,50,1965,2018
Decile 9 minimum temperature (Degrees C) for years 1965 to 2018 ,18.4,19.1,17.4,15,12.6,10.2,9.3,10,12,13.7,15.3,16.8, ,50,1965,2018
Mean number of days <= 2 Degrees C for years 1965 to 2018 ,0,0,0,0.1,0.6,2.8,3.4,2,0.9,0.4,0,0,10.2,51,1965,2018
Mean number of days <= 0 Degrees C for years 1965 to 2018 ,0,0,0,0,0.1,0.7,0.7,0.5,0.1,0,0,0,2.1,51,1965,2018
Mean daily ground minimum temperature Degrees C for years 1951 to 1990 ,9.9,10.3,9.1,6.9,5.4,3.2,2.5,3.2,4.1,5.8,7.4,8.9,6.4,31,1951,1990
Lowest ground temperature Degrees C for years 1965 to 1990 ,0.4,-0.7,-1.9,-2.3,-5.2,-7.9,-8,-4.9,-7.5,-3.6,-2.2,-0.1,-8,25,1965,1990
Date of Lowest ground temperature  for years 1965 to 1990 ,26-Jan-65,10-Feb-80,29-Mar-65,13-Apr-65,20-May-81,16-Jun-69,21-Jul-82,5-Aug-67,27-Sep-89,7-Oct-66,17-Nov-67,19-Dec-71,21-Jul-82,N/A,1965,1990
Mean number of days ground min. temp. <= -1 Degrees C for years 1965 to 1990 ,0,0,0.1,0.5,1.3,4.1,4.8,2.8,2.1,0.7,0.2,0,16.6,25,1965,1990
Mean rainfall (mm) for years 1948 to 2018 ,52.4,52.8,52.9,67.9,87.3,69.6,73.4,80,83.1,83.3,80.1,76.5,858.5,60,1948,2018
Highest rainfall (mm) for years 1948 to 2018 ,192.5,212.4,184.8,177.4,168.3,171.6,180.5,168,186.6,171.2,178.3,186.6,1237.1,67,1948,2018
Date of Highest rainfall for years 1948 to 2018 ,1963,2011,1970,1960,1962,1977,1952,1975,1992,2001,1992,1993,1952,N/A,1948,2018
Lowest rainfall (mm) for years 1948 to 2018 ,2.2,0.3,4,18.4,12.4,13.7,25.5,28.2,28.6,13.4,19.1,3.7,512.8,67,1948,2018
Date of Lowest rainfall for years 1948 to 2018 ,2009,1956,1951,2007,2009,1972,1976,1982,2006,2006,1959,1972,1997,N/A,1948,2018
Decile 1 monthly rainfall (mm) for years 1948 to 2018 ,20.4,5.7,18.9,28.7,45.2,30.6,41.9,39.8,42.3,36.4,28.4,31.5,651.6,67,1948,2018
Decile 5 (median) monthly rainfall (mm) for years 1948 to 2018 ,51.6,41.7,45.2,64.7,83.1,64.6,71.2,82.4,78.6,77.9,72.2,74.2,853.1,67,1948,2018
Decile 9 monthly rainfall (mm) for years 1948 to 2018 ,93.3,106.4,85.4,110.5,138.5,109.3,107,115.4,127.9,143.7,140.3,145.8,1046.8,67,1948,2018
Highest daily rainfall (mm) for years 1948 to 2018 ,69.6,145.4,89.4,78.2,57.6,74.2,58.9,41,67.1,63.6,55.9,68,145.4,67,1948,2018
Date of Highest daily rainfall for years 1948 to 2018 ,29-Jan-63,3-Feb-05,22-Mar-70,8-Apr-77,16-May-74,1-Jun-13,14-Jul-52,17-Aug-83,20-Sep-59,31-Oct-10,9-Nov-54,3-Dec-03,3-Feb-05,N/A,1948,2018
Mean number of days of rain for years 1948 to 2018 ,8.9,7.7,10.3,12.4,16.3,16.7,18.7,18.1,16.1,15.4,13.6,11.5,165.7,67,1948,2018
Mean number of days of rain >= 1 mm for years 1948 to 2018 ,6.2,5.4,6.9,8.4,11.6,10.9,12.3,13.2,11.6,11.2,9.9,8,115.6,67,1948,2018
Mean number of days of rain >= 10 mm for years 1948 to 2018 ,1.7,1.5,1.6,2,2.8,1.9,1.8,2.3,2.5,2.6,2.8,2.4,25.9,67,1948,2018
Mean number of days of rain >= 25 mm for years 1948 to 2018 ,0.4,0.6,0.3,0.4,0.4,0.2,0.2,0.2,0.4,0.3,0.5,0.7,4.6,67,1948,2018
Mean daily wind run (km) for years 1965 to 2018 ,227,212,201,194,192,199,232,244,244,232,229,225,220,44,1965,2018
Maximum wind gust speed (km/h) for years 2001 to 2018 ,80,74,68,78,70,68,74,83,76,85,89,70,89,15,2001,2018
Date of Maximum wind gust speed for years 2001 to 2018 ,26-Jan-06,14-Feb-18,21-Mar-13,2-Apr-08,26-May-10,17-Jun-10,1-Jul-08,21-Aug-09,19-Sep-03,28-Oct-07,30-Nov-15,28-Dec-16,30-Nov-15,N/A,2001,2018
Mean daily sunshine (hours) for years 1965 to 1979 ,8.8,8.6,7.2,5.5,4.4,3.9,4.1,4.6,5.4,6.3,7.2,8,6.2,15,1965,1979
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2018 ,24,20.8,16.1,10.9,7.3,5.9,6.5,9.3,12.7,17.3,21,23.5,14.6,28,1990,2018
Mean number of clear days for years 1988 to 1988 , , , , , , , , , , , , , ,0,1988,1988
Mean number of cloudy days for years 1988 to 1988 , , , , , , , , , , , , , ,0,1988,1988
Mean daily evaporation (mm) for years 1965 to 1994 ,5.6,5.5,4,2.7,1.7,1.3,1.4,1.9,2.6,3.4,4.4,5,3.3,23,1965,1994
Mean 9am temperature (Degrees C) for years 1948 to 2010 ,18.8,18.9,17.3,14.5,11.5,9.1,8.5,9.7,11.9,14.1,15.4,17.3,13.9,52,1948,2010
Mean 9am wet bulb temperature (Degrees C) for years 1948 to 2010 ,15.1,15.4,14.3,12.1,10,7.9,7.1,8,9.5,11.2,12.3,13.8,11.4,49,1948,2010
Mean 9am dew point temperature (Degrees C) for years 1971 to 2010 ,11.7,12.5,11.6,9.9,8.4,6.6,5.6,5.9,6.9,8.2,9.4,10.6,8.9,36,1971,2010
Mean 9am relative humidity (%) for years 1948 to 2010 ,67,70,73,76,82,85,82,78,73,70,69,67,74,45,1948,2010
Mean 9am cloud cover (okas) for years 1948 to 1994 ,4.7,4.3,4.6,5,5.3,5.4,5.3,5.2,5.3,5.2,5.3,5,5,38,1948,1994
Mean 9am wind speed (km/h) for years 1965 to 2010 ,11.1,10.1,10,9.4,8.7,9.4,10.7,11.7,12.6,12.7,11.6,11.4,10.8,42,1965,2010
Mean 3pm temperature (Degrees C) for years 1988 to 2010 ,25.5,25.3,23,19.1,15.7,13.2,12.5,13.6,15.7,17.8,20.7,22.7,18.7,14,1988,2010
Mean 3pm wet bulb temperature (Degrees C) for years 1988 to 2010 ,17.8,17.9,16,13.9,12,10.4,9.5,10.3,11.4,12.6,15.3,16,13.6,11,1988,2010
Mean 3pm dew point temperature (Degrees C) for years 1988 to 2010 ,11.8,11.9,10.5,9.3,8.4,7.1,6.1,5.9,6.7,7.5,9.5,10,8.7,14,1988,2010
Mean 3pm relative humidity (%) for years 1988 to 2010 ,46,47,48,56,64,68,66,61,57,54,52,48,56,14,1988,2010
Mean 3pm cloud cover (oktas) for years 1988 to 1993 , , , , , , , , , , , , , ,0,1988,1993
Mean 3pm wind speed (km/h) for years 1988 to 2010 ,16.6,15.4,15,13.7,12.9,13.8,14.4,15.8,17.2,17.1,16.2,16.7,15.4,14,1988,2010
